cpf,nome_completo,data_nascimento,genero,numero_celular,email,estado_civil,numero_celula,participacao_ministerio,data_batismo,data_conversao,escolaridade,profissao,cep,rua,bairro,cidade,uf,numero,receber_noticias
638.745.092-65,Henrique da Rosa,1955-08-19,Feminino,(92)979979974,ecaldeira@example.com,Viúvo(a),5,Comunicação,2023-06-20,2024-05-31,Superior,Produtor musical,69029-440,Lago Luiz Felipe Lopes,Lagoinha Leblon,Manaus,AM,533,Não
649.153.807-93,Felipe Viana,1987-08-20,Feminino,(92)941604129,nascimentoluiz-fernando@example.net,Viúvo(a),2,Não,2024-05-14,2024-01-05,Mestrado,Engenheiro de energia,69065-100,Vereda Aparecida,Jatobá,Manaus,AM,538,Sim
650.179.438-20,Bárbara da Cruz,1950-05-11,Masculino,(92)953187499,borgesravy@example.net,Casado(a),8,Introdutores,2024-04-22,2024-04-09,Pós-graduação,Bóia-fria,69029-610,Setor de Silveira,Padre Eustáquio,Manaus,AM,8,Não
651.978.043-00,Ana Laura Teixeira,1995-12-12,Feminino,(92)945224451,ianvargas@example.org,Divorciado(a),8,MIDAF - Dança,2020-01-25,2024-06-26,Fundamental,Técnico em hardware,69029-470,Favela Pires,Tres Marias,Manaus,AM,460,Não
652.083.197-21,Benicio Silva,1960-01-18,Masculino,(92)968039517,antonellaalmeida@example.com,Casado(a),4,MJF - Jovens,2024-05-28,2024-01-13,Mestrado,Perito criminal,69065-170,Residencial Cavalcanti,Cidade Nova,Manaus,AM,354,Sim
670.984.213-40,Maria Clara Dias,1952-04-18,Feminino,(92)975187955,rael60@example.org,Viúvo(a),3,Introdutores,2023-05-05,2024-05-20,Pós-graduação,Lutador de kung fu,69029-160,Pátio Fernanda Fogaça,Cruzeiro,Manaus,AM,778,Sim
675.208.149-20,Ísis Pereira,1956-10-12,Masculino,(92)971072551,gaelvargas@example.net,Divorciado(a),3,Celebrações,2024-07-25,2024-02-12,Pós-graduação,Mestre cervejeiro,69029-240,Viela Diego Porto,Santa Isabel,Manaus,AM,133,Sim
675.492.130-70,Sabrina Moreira,2000-09-23,Feminino,(92)950901548,leaobryan@example.net,Casado(a),9,Eventos/Cerimonial,2024-03-01,2024-02-23,Superior,Tenista,69065-230,Fazenda Melo,Saudade,Manaus,AM,305,Sim
679.340.285-47,Luiz Felipe Pinto,1995-12-07,Masculino,(92)992685565,asafe19@example.org,Casado(a),9,MJF - Jovens,2024-06-02,2024-02-27,Superior,Ceramista,69065-186,Via de Jesus,Conjunto Capitão Eduardo,Manaus,AM,346,Sim
680.529.147-01,Ana Luiza Barbosa,1979-09-05,Masculino,(92)966318681,piresheitor@example.net,Solteiro(a),7,MILAF - Louvor,2022-06-06,2024-06-06,Fundamental,Modelista,69065-215,Vale Lunna Costela,Tupi B,Manaus,AM,600,Sim
683.029.157-77,Nicole Santos,2001-04-03,Feminino,(92)921798657,caua98@example.com,Divorciado(a),3,Eventos/Cerimonial,2022-11-27,2024-01-03,Doutorado,Paparazzo,69029-041,Esplanada Cavalcanti,Floresta,Manaus,AM,205,Não
685.371.294-37,Emilly Montenegro,1993-01-06,Masculino,(92)991871007,vicente09@example.com,Casado(a),9,MILAF - Louvor,2021-12-14,2024-01-04,Superior,Economista,69029-220,Campo Benjamin Garcia,Vila Tirol,Manaus,AM,879,Não
692.581.473-91,Theo Sales,1991-05-09,Feminino,(92)951326884,hgarcia@example.org,Divorciado(a),1,MIDAF - Dança,2024-05-18,2024-07-23,Pós-graduação,Letrista,69029-110,Aeroporto de Peixoto,Solimoes,Manaus,AM,860,Não
708.629.413-69,Luiza Brito,2002-07-15,Masculino,(92)951099376,castroluara@example.com,Solteiro(a),2,Intercessão,2020-06-14,2024-07-01,Médio,Deputado,69029-000,Condomínio de Dias,Taquaril,Manaus,AM,877,Não
716.425.380-35,Júlia da Cruz,1982-01-14,Masculino,(92)941165117,rezendeanthony@example.net,Viúvo(a),1,Eventos/Cerimonial,2021-07-26,2024-02-02,Pós-graduação,Tintureiro,69065-152,Morro Moura,Prado,Manaus,AM,54,Sim
720.945.318-05,Leonardo Macedo,2001-04-24,Feminino,(92)942849592,riosvitor-hugo@example.com,Solteiro(a),2,Eventos/Cerimonial,2023-11-05,2024-04-14,Doutorado,Clarinetista,69029-090,Lagoa Macedo,Vila Copacabana,Manaus,AM,281,Não
723.416.598-37,Lívia Fogaça,1956-12-12,Masculino,(92)992142202,stellaferreira@example.org,Casado(a),9,MIDAF - Dança,2024-03-12,2024-04-26,Doutorado,Assistente de câmera,69029-100,Recanto Isaac Monteiro,Vila Aeroporto Jaraguá,Manaus,AM,144,Não
725.364.081-08,Renan Mendonça,1970-11-25,Feminino,(92)917928522,vitorcosta@example.org,Viúvo(a),1,Comunicação,2021-07-19,2024-06-04,Mestrado,Biólogo,69029-320,Área de Ribeiro,Vila Nova Paraíso,Manaus,AM,903,Não
731.826.904-69,Stephany Dias,1962-03-30,Feminino,(92)996665072,luiz-otavio72@example.net,Solteiro(a),7,Eventos/Cerimonial,2020-07-23,2024-03-11,Doutorado,Bancário,69065-230,Setor de Cavalcanti,Primeiro De Maio,Manaus,AM,303,Não
738.265.401-07,Diego Barros,1981-09-02,Masculino,(92)931294290,emanuellarocha@example.org,Casado(a),4,MILAF - Louvor,2024-03-28,2024-06-01,Mestrado,Sargento,69065-146,Viaduto Ana Clara Dias,Conjunto Califórnia I,Manaus,AM,308,Não
756.039.412-43,Helena Brito,1992-04-05,Masculino,(92)934497155,da-luzleonardo@example.net,Casado(a),2,Infantil,2021-04-10,2024-04-13,Mestrado,Técnico em hardware,69029-090,Parque Souza,Mangueiras,Manaus,AM,130,Sim
781.234.609-96,Sra. Maysa Campos,1994-03-03,Feminino,(92)926407679,aylabarros@example.com,Viúvo(a),5,Técnica,2021-12-26,2024-06-02,Superior,Serralheiro,69029-120,Via Aparecida,Penha,Manaus,AM,197,Não
782.406.359-38,Heloisa Ferreira,1978-03-02,Feminino,(92)924989196,tsales@example.com,Viúvo(a),1,Não,2021-09-23,2024-07-12,Fundamental,Ajudante de produção,69029-130,Vila de Sampaio,Santa Rosa,Manaus,AM,85,Sim
789.635.204-47,Caio Mendes,1964-12-26,Masculino,(92)948256303,dmoreira@example.org,Divorciado(a),4,MILAF - Louvor,2023-02-18,2024-03-31,Superior,Florista,69029-220,Vereda de Correia,Serra Do Curral,Manaus,AM,547,Sim
794.602.813-03,Esther Fernandes,1985-05-17,Feminino,(92)915918563,mdas-neves@example.org,Viúvo(a),4,Introdutores,2020-06-16,2024-01-27,Superior,Oceanógrafo,69065-080,Condomínio Julia Novaes,Fernão Dias,Manaus,AM,749,Sim
795.210.683-02,Gael Gonçalves,1974-10-08,Masculino,(92)969946552,maria-eduardada-paz@example.org,Casado(a),1,MILAF - Louvor,2023-06-05,2024-01-03,Doutorado,Crítico,69065-146,Recanto Cassiano,Ernesto Nascimento,Manaus,AM,288,Não
807.134.952-60,Gustavo Novaes,1972-07-25,Feminino,(92)950524213,maria22@example.com,Divorciado(a),6,Celebrações,2023-11-24,2024-06-26,Mestrado,Lutador de jiu-jitsu,69029-540,Colônia Souza,Acaba Mundo,Manaus,AM,297,Não
807.316.542-26,Henry Sousa,1958-08-24,Feminino,(92)997244147,novaesgustavo@example.com,Solteiro(a),4,MIDAF - Dança,2021-03-13,2024-04-03,Fundamental,Flanelinha,69065-030,Vereda de Oliveira,Milionario,Manaus,AM,994,Não
832.716.049-40,Sr. Vitor Hugo Gomes,2000-05-26,Masculino,(92)939558773,haragao@example.net,Casado(a),2,Infantil,2024-07-22,2024-06-19,Doutorado,Espeleologista,69065-146,Esplanada Mendonça,Bela Vitoria,Manaus,AM,715,Não
874.910.532-97,Júlia Porto,1982-03-16,Feminino,(92)921724225,novaisana-cecilia@example.net,Divorciado(a),7,MJF - Jovens,2021-04-21,2024-06-16,Pós-graduação,Quitandeiro,69029-500,Parque de Pastor,Jardim São José,Manaus,AM,973,Sim
893.765.014-20,Dra. Cecília Cassiano,1968-04-09,Masculino,(92)994082047,castrobarbara@example.net,Casado(a),8,MILAF - Louvor,2024-05-03,2024-07-07,Superior,Cenotécnico,69029-470,Campo Eduarda Camargo,Vila Dos Anjos,Manaus,AM,722,Não
910.482.573-04,Levi Souza,1984-12-22,Masculino,(92)922254489,nunessophie@example.org,Solteiro(a),2,Não,2021-10-09,2024-07-10,Doutorado,Tatuador,69065-013,Sítio de Silva,Inconfidência,Manaus,AM,747,Não
920.716.435-34,Theodoro Rios,2001-03-30,Feminino,(92)960786693,ana-juliamoraes@example.org,Solteiro(a),5,MJF - Jovens,2020-07-09,2024-01-26,Doutorado,Quadrinista,69065-004,Largo Emilly Sales,Varzea Da Palma,Manaus,AM,827,Sim
925.430.871-41,José Miguel Sousa,1986-05-18,Feminino,(92)982127259,danielcamara@example.net,Casado(a),2,Intercessão,2023-01-22,2024-06-24,Superior,Massagista,69029-000,Fazenda Pinto,Diamante,Manaus,AM,509,Sim
930.517.286-59,Maria Cecília Siqueira,1992-12-16,Feminino,(92)913132478,giovanna74@example.net,Casado(a),5,Celebrações,2022-11-01,2024-06-08,Fundamental,Bartender,69065-050,Viela de Ramos,Lagoinha,Manaus,AM,218,Sim
935.187.042-14,Maria Flor Fonseca,1984-06-25,Feminino,(92)934407812,lavinia42@example.org,Divorciado(a),6,Técnica,2021-05-28,2024-02-22,Mestrado,Profissional de hotelaria,69029-080,Quadra Letícia Moraes,Vila Nova Gameleira 2ª Seção,Manaus,AM,969,Sim
945.218.673-91,Olivia Mendes,1989-12-19,Feminino,(92)961058946,eduardopires@example.org,Casado(a),2,Introdutores,2023-04-29,2024-03-25,Fundamental,Engenheiro de produto ou produção,69029-130,Feira Casa Grande,Beija Flor,Manaus,AM,143,Sim
954.702.163-06,Maya Caldeira,1999-09-27,Masculino,(92)980865448,zpires@example.com,Divorciado(a),5,Eventos/Cerimonial,2023-04-20,2024-05-02,Mestrado,Empresário,69029-500,Morro de Vasconcelos,Casa Branca,Manaus,AM,708,Não
957.410.362-52,Benício da Rosa,1979-07-30,Feminino,(92)916846858,ana-beatriz56@example.com,Casado(a),8,MIDAF - Dança,2024-04-28,2024-01-06,Superior,Vendedor,69065-146,Viaduto Ester Fonseca,Grotinha,Manaus,AM,483,Sim
964.531.072-52,Ana Cecília Santos,1994-11-22,Feminino,(92)915479349,tvargas@example.net,Viúvo(a),6,Técnica,2021-05-26,2024-07-28,Fundamental,Jornaleiro,69065-195,Sítio Augusto Azevedo,Cruzeiro,Manaus,AM,203,Sim
965.071.832-02,Yan Gonçalves,1989-06-20,Feminino,(92)918975253,davi-luccarios@example.org,Casado(a),5,Não,2021-10-02,2024-04-19,Superior,Bóia-fria,69029-170,Viela da Rocha,Jardim Montanhês,Manaus,AM,15,Não
967.043.812-87,Sr. Benício Cavalcante,1977-03-11,Masculino,(92)995886369,cnovais@example.org,Casado(a),3,Introdutores,2021-05-07,2024-03-16,Médio,Co-piloto,69065-175,Viela Allana Caldeira,Vila Suzana Segunda Seção,Manaus,AM,442,Sim
970.824.136-96,Olivia Vargas,1982-11-01,Masculino,(92)991861571,silveiraalexandre@example.net,Viúvo(a),1,Infantil,2022-06-08,2024-01-01,Mestrado,Cabeleireiro,69029-500,Largo Maria Helena Rocha,Conjunto Minas Caixa,Manaus,AM,374,Sim
