cpf,nome_completo,data_nascimento,genero,numero_celular,email,estado_civil,numero_celula,participacao_ministerio,data_batismo,data_conversao,escolaridade,profissao,cep,rua,bairro,cidade,uf,numero,receber_noticias,id
531.749.802-32,Ana Julia Macedo,2002-08-07,Feminino,(92)984875577,enzo54@example.com,Viúvo(a),10,Introdutores,2022-06-06,2024-01-09,Pós-graduação,Analista de sistemas,69053-796,Alameda Lucca Pacheco,Santa Lúcia,Manaus,AM,585,Não,12
473.862.509-83,Mariana da Paz,1962-03-18,Feminino,(92)983568077,maria-helenasilva@example.net,Casado(a),4,Comunicação,2023-10-14,2024-01-07,Doutorado,Bóia-fria,69088-464,Viaduto da Cruz,Piratininga,Manaus,AM,456,Não,13
801.945.723-23,Fernando Fogaça,1992-10-16,Masculino,(92)998471488,nicole44@example.com,Casado(a),3,Técnica,2020-12-31,2024-05-16,Superior,Engenheiro de produção agroindustrial,69071-280,Setor Aragão,Maria Helena,Manaus,AM,166,Sim,14
362.594.817-64,Yuri Ribeiro,1963-08-02,Feminino,(92)955907892,beatriz67@example.net,Casado(a),9,MILAF - Louvor,2021-10-13,2024-02-29,Médio,Telegrafista,69096-974,Fazenda Marques,Santa Rita,Manaus,AM,684,Sim,15
135.786.249-00,Esther Martins,1994-04-03,Masculino,(92)912471912,yda-rocha@example.org,Viúvo(a),6,Técnica,2021-03-15,2024-02-25,Doutorado,Pedagogo,69025-684,Avenida de Jesus,Savassi,Manaus,AM,434,Não,16
068.452.739-10,Enzo Gabriel Montenegro,1968-12-23,Feminino,(92)936355628,rodriguesdiego@example.net,Viúvo(a),7,Eventos/Cerimonial,2023-04-30,2024-05-21,Mestrado,Astrólogo,69031-757,Largo Laís Caldeira,Serra Verde,Manaus,AM,683,Não,17
742.016.853-90,Sr. Heitor Araújo,1952-04-15,Masculino,(92)991939050,andreribeiro@example.org,Solteiro(a),9,MJF - Jovens,2021-09-19,2024-01-15,Fundamental,Figurante,69028-950,Ladeira Cardoso,Horto Florestal,Manaus,AM,614,Não,18
318.065.249-70,Ana Carolina Almeida,1973-08-26,Feminino,(92)967519022,mariahmonteiro@example.com,Divorciado(a),9,MIDAF - Dança,2020-06-24,2024-06-12,Pós-graduação,Ventríloquo,69068-185,Aeroporto Liz Viana,Conjunto Taquaril,Manaus,AM,339,Sim,19
084.713.596-93,Enzo Teixeira,1953-06-22,Masculino,(92)959937022,bellada-rosa@example.org,Viúvo(a),9,Infantil,2021-11-29,2024-05-19,Superior,Procurador de justiça,69063-263,Recanto Cecília Porto,Vila Santo Antônio,Manaus,AM,994,Não,20
253.147.608-35,Dra. Bella Oliveira,1979-01-04,Masculino,(92)936155703,gcavalcanti@example.com,Divorciado(a),5,Intercessão,2021-05-14,2024-06-04,Doutorado,Endocrinologista,69013-488,Recanto de Dias,Varzea Da Palma,Manaus,AM,749,Não,21
547.083.921-41,Pedro Miguel Moreira,1944-12-13,Feminino,(92)967919239,zleao@example.org,Divorciado(a),5,Introdutores,2021-06-17,2024-02-10,Mestrado,Ferreiro,69024-289,Chácara Lorena Pires,Álvaro Camargos,Manaus,AM,202,Não,22
016.253.498-15,Zoe Alves,1955-11-24,Masculino,(92)966558383,sousaantonella@example.com,Divorciado(a),5,Técnica,2024-06-09,2024-01-19,Mestrado,Epidemiólogo,69083-633,Praia Moraes,Independência,Manaus,AM,879,Não,23
083.719.265-02,Dra. Sabrina Ramos,1952-08-16,Masculino,(92)943919633,rodriguesmateus@example.org,Casado(a),5,Não,2024-03-25,2024-04-14,Superior,Seringueiro,69044-504,Rua de Caldeira,Vila Copacabana,Manaus,AM,484,Sim,24
752.849.160-85,Sra. Lara Cavalcante,1953-10-15,Masculino,(92)929515651,bryan69@example.net,Solteiro(a),3,Eventos/Cerimonial,2022-07-13,2024-01-11,Mestrado,Vereador,69012-607,Vila Nogueira,Vila Tirol,Manaus,AM,188,Não,25
086.453.297-00,Ana Liz Fernandes,1949-01-21,Masculino,(92)986963807,alexandre57@example.com,Divorciado(a),2,Não,2022-08-26,2024-01-20,Médio,Sonoplasta,69017-117,Sítio de Jesus,Saudade,Manaus,AM,879,Não,26
821.509.674-30,Melina Sampaio,1963-04-04,Masculino,(92)914705372,ana-julia53@example.net,Casado(a),9,Introdutores,2022-11-20,2024-05-10,Superior,Transportador,69056-505,Estrada de Sales,Marmiteiros,Manaus,AM,817,Sim,27
985.420.167-85,Ana Clara Mendonça,1981-02-19,Feminino,(92)932896910,lararios@example.net,Viúvo(a),6,Intercessão,2020-12-16,2024-05-24,Superior,Vigia parlamentar,69019-258,Avenida de Guerra,Liberdade,Manaus,AM,920,Sim,28
841.396.025-89,Joaquim Sá,1986-06-22,Feminino,(92)956896589,augustobarros@example.com,Divorciado(a),5,Celebrações,2022-01-19,2024-05-06,Superior,Militar da Aeronáutica,69023-856,Estação Lucas da Mota,Vila Maloca,Manaus,AM,149,Não,29
903.672.548-83,Felipe Moura,2000-03-17,Masculino,(92)912204468,oliveiracecilia@example.net,Divorciado(a),9,Introdutores,2021-04-25,2024-06-13,Médio,Jornalista,69061-377,Colônia Felipe Campos,Betânia,Manaus,AM,493,Sim,30
532.097.864-29,Lucca Lima,1983-09-25,Masculino,(92)992586658,brunoaraujo@example.org,Divorciado(a),6,MILAF - Louvor,2022-04-18,2024-02-14,Doutorado,Dogueiro,69076-296,Rodovia Carvalho,Alpes,Manaus,AM,258,Sim,31
958.231.074-04,Mirella Ribeiro,1953-12-10,Masculino,(92)913235052,cavalcantealice@example.net,Solteiro(a),7,Técnica,2022-12-17,2024-04-01,Fundamental,Engenheiro químico,69026-172,Rodovia de da Costa,Dom Silverio,Manaus,AM,901,Não,32
924.381.607-13,Larissa Sampaio,1984-12-29,Masculino,(92)931958136,rda-cruz@example.net,Casado(a),8,Celebrações,2022-03-03,2024-03-30,Pós-graduação,Odontologista estético,69072-777,Travessa Fonseca,Solimoes,Manaus,AM,567,Sim,33
586.174.039-93,Amanda das Neves,1969-01-23,Feminino,(92)941963451,ana-livia84@example.net,Solteiro(a),7,MJF - Jovens,2023-06-10,2024-04-21,Médio,Cartógrafo,69061-212,Condomínio Carvalho,Lourdes,Manaus,AM,377,Não,34
307.596.142-61,Antonella Borges,2001-03-02,Masculino,(92)910076009,luiz-miguel83@example.com,Viúvo(a),4,Celebrações,2021-08-23,2024-04-06,Superior,Tecnólogo em produção moveleira,69045-350,Viaduto de Costela,Grota,Manaus,AM,623,Sim,35
845.973.206-10,Maria Flor Barros,1971-04-30,Feminino,(92)924829654,qvasconcelos@example.org,Divorciado(a),3,Infantil,2020-02-24,2024-05-06,Mestrado,Enfermeiro,69084-308,Quadra Melo,Urca,Manaus,AM,881,Sim,36
748.931.025-32,Helena Farias,1995-01-14,Feminino,(92)978856672,vasconcelosstella@example.com,Divorciado(a),2,MJF - Jovens,2024-03-08,2024-06-10,Médio,Arquivista,69089-530,Largo de Azevedo,Luxemburgo,Manaus,AM,82,Sim,37
789.065.143-01,Sra. Maitê Cunha,1966-10-20,Masculino,(92)972608758,da-rosaravi@example.net,Solteiro(a),10,MJF - Jovens,2020-01-01,2024-05-05,Doutorado,Leiloeiro,69024-854,Rodovia Moura,Granja De Freitas,Manaus,AM,715,Sim,38
798.345.062-10,Raquel Nascimento,1982-01-17,Feminino,(92)926839424,klopes@example.com,Casado(a),6,Introdutores,2021-07-19,2024-03-14,Mestrado,Balconista,69021-866,Ladeira Marques,Manacas,Manaus,AM,579,Não,39
038.269.754-56,Ana Vitória Montenegro,1960-04-08,Feminino,(92)944078049,marinapimenta@example.net,Casado(a),5,Celebrações,2023-11-13,2024-03-17,Doutorado,Jogador de vôlei,69057-178,Trevo Breno Borges,Vila Ipiranga,Manaus,AM,685,Não,40
631.092.587-30,Srta. Melissa Sousa,2003-01-24,Masculino,(92)952981997,benjamim22@example.net,Viúvo(a),9,MILAF - Louvor,2024-02-05,2024-02-24,Mestrado,Quadrinista,69072-379,Rodovia de Melo,Garças,Manaus,AM,861,Não,41
215.670.834-71,Melissa Gomes,1979-08-14,Feminino,(92)911004288,moraesluiz-gustavo@example.net,Casado(a),1,Comunicação,2023-05-10,2024-01-16,Doutorado,Diplomata,69062-901,Recanto Yago Teixeira,Olhos D'água,Manaus,AM,95,Não,42
249.831.576-46,Anthony Gabriel Cardoso,1998-08-21,Masculino,(92)991872707,leocirino@example.com,Viúvo(a),8,Comunicação,2023-07-16,2024-03-15,Fundamental,Açougueiro,69046-799,Praia Melina Pinto,Fernão Dias,Manaus,AM,830,Sim,43
175.046.893-00,Larissa Souza,1952-01-14,Feminino,(92)937838486,maria-lauracarvalho@example.net,Solteiro(a),10,MILAF - Louvor,2021-01-15,2024-06-16,Fundamental,Instrumentista musical,69057-836,Núcleo de Barbosa,Alpes,Manaus,AM,656,Sim,44
836.190.742-40,Pedro Miguel Araújo,1954-08-03,Feminino,(92)935656596,lda-conceicao@example.com,Viúvo(a),4,MIDAF - Dança,2021-03-12,2024-04-23,Fundamental,Recepcionista,69030-628,Conjunto da Costa,Bela Vitoria,Manaus,AM,441,Sim,45
493.016.275-07,Maya Garcia,1982-11-16,Feminino,(92)912904897,ottomacedo@example.net,Solteiro(a),3,Intercessão,2023-07-31,2024-01-04,Doutorado,Lutador de jiu-jitsu,69061-720,Estação Paulo Montenegro,Vila Calafate,Manaus,AM,586,Não,46
169.450.723-80,Anthony Gabriel Fogaça,1984-08-19,Feminino,(92)921435506,marianevieira@example.net,Casado(a),2,MILAF - Louvor,2021-11-16,2024-03-07,Superior,Arqueólogo,69072-375,Sítio Lorenzo Pimenta,Das Industrias I,Manaus,AM,529,Não,47
685.793.210-77,Cauê Sales,1952-06-02,Feminino,(92)954995703,barbosaluara@example.net,Viúvo(a),2,Eventos/Cerimonial,2020-11-09,2024-01-28,Mestrado,Paramédico,69053-545,Vale Luiz Otávio Souza,Caiçaras,Manaus,AM,576,Não,48
018.354.627-07,Pedro Henrique Pinto,1972-11-08,Masculino,(92)954232338,qfonseca@example.net,Solteiro(a),6,Intercessão,2024-05-29,2024-05-02,Mestrado,Repórter,69024-635,Colônia Moraes,Boa Esperança,Manaus,AM,70,Não,49
528.791.604-30,Guilherme da Conceição,1998-11-29,Feminino,(92)975238602,thiago46@example.net,Viúvo(a),8,Comunicação,2020-06-26,2024-06-16,Pós-graduação,Mestre-de-obras,69031-370,Ladeira Porto,Vila Vista Alegre,Manaus,AM,655,Não,50
206.145.978-11,Vinícius Martins,1989-06-20,Feminino,(92)955351432,joao-guilhermeviana@example.com,Viúvo(a),10,MILAF - Louvor,2024-01-07,2024-06-02,Fundamental,Cerimonialista,69068-953,Setor Isabel Cavalcante,Vila Madre Gertrudes 2ª Seção,Manaus,AM,593,Não,51
378.145.260-35,André da Rocha,1950-01-26,Masculino,(92)973445946,fogacaester@example.net,Casado(a),2,Comunicação,2022-03-01,2024-02-04,Pós-graduação,Mãe social,69034-448,Quadra Alexia Nascimento,Vila Nova Gameleira 2ª Seção,Manaus,AM,701,Não,52
548.371.609-48,Emanuel Siqueira,2000-12-07,Feminino,(92)920665222,jcastro@example.org,Divorciado(a),2,MIDAF - Dança,2020-03-29,2024-05-24,Doutorado,Gerente de inovações ou novos negócios,69028-252,Praça Mendonça,Vila Atila De Paiva,Manaus,AM,394,Não,53
187.346.590-48,Stella Nogueira,1950-08-18,Masculino,(92)987714744,julia50@example.net,Divorciado(a),5,MIDAF - Dança,2023-12-29,2024-04-07,Pós-graduação,Orientador educacional,69054-432,Quadra Aragão,Vitoria,Manaus,AM,153,Sim,54
035.781.624-26,Vitor Gabriel Oliveira,1963-05-21,Feminino,(92)913258831,barbara78@example.net,Viúvo(a),9,Intercessão,2020-09-11,2024-02-14,Pós-graduação,Necromaquiador,69094-703,Loteamento de Azevedo,Padre Eustáquio,Manaus,AM,672,Sim,55
816.093.527-77,Matteo Monteiro,1984-03-18,Masculino,(92)978927061,ferreiravalentim@example.com,Divorciado(a),3,Infantil,2022-08-20,2024-04-05,Pós-graduação,Classificador contábil,69043-239,Residencial Abreu,Nova Suíça,Manaus,AM,696,Não,56
398.452.610-51,Maria Alice Jesus,2001-05-26,Feminino,(92)979996916,franciscomoura@example.org,Casado(a),1,Infantil,2022-04-13,2024-05-25,Superior,Motorista,69086-288,Setor Rocha,Maravilha,Manaus,AM,296,Sim,57
901.326.754-80,Antony Câmara,1986-11-20,Masculino,(92)956901507,isabel89@example.org,Viúvo(a),6,Introdutores,2022-02-09,2024-01-25,Doutorado,Marcador de luz,69053-687,Estação Dias,Vitoria Da Conquista,Manaus,AM,785,Não,58
873.506.492-74,Eduarda Teixeira,1983-02-07,Feminino,(92)981368452,fda-rosa@example.org,Solteiro(a),1,Infantil,2024-07-10,2024-01-02,Médio,Professor,69085-573,Condomínio Valentina da Cunha,Alto Caiçaras,Manaus,AM,816,Não,59
426.510.793-16,Joana Pires,1984-10-14,Feminino,(92)921865565,qdas-neves@example.net,Divorciado(a),10,Intercessão,2021-12-18,2024-05-15,Doutorado,DJ,69084-475,Rua Caroline Silveira,Vila Piratininga,Manaus,AM,909,Sim,60
861.470.923-40,Julia Sá,1984-11-29,Masculino,(92)924238684,rhavi59@example.org,Divorciado(a),2,Infantil,2021-12-28,2024-04-07,Superior,Geógrafo,69071-467,Largo Gabriel Aparecida,Inconfidência,Manaus,AM,521,Sim,61
582.163.407-53,Mathias Sales,1998-11-19,Masculino,(92)948776194,caio30@example.com,Casado(a),4,Introdutores,2021-10-21,2024-03-30,Médio,Tecnólogo em produção de bebidas,69095-781,Praça de Aragão,Vila Suzana Primeira Seção,Manaus,AM,485,Sim,62
198.273.046-31,Bruno Barros,1944-08-25,Masculino,(92)960611116,kaique34@example.net,Solteiro(a),5,Comunicação,2023-08-15,2024-03-30,Doutorado,Ceramista,69059-903,Núcleo Sabrina Moreira,Mineirão,Manaus,AM,337,Sim,63
240.598.136-05,Elisa Ferreira,2006-01-08,Masculino,(92)975843052,bmartins@example.com,Viúvo(a),5,Intercessão,2022-04-14,2024-01-01,Mestrado,Neurologista,69066-855,Passarela de Pires,Coração De Jesus,Manaus,AM,840,Não,64
504.398.126-15,Valentim Alves,1971-03-04,Feminino,(92)991624860,leo92@example.com,Viúvo(a),3,Celebrações,2024-01-04,2024-02-01,Pós-graduação,Profissional de educação física,69070-452,Estrada Cunha,Vila Engenho Nogueira,Manaus,AM,53,Não,65
286.491.730-04,Luísa Sampaio,1992-04-12,Feminino,(92)995963396,freitasantonella@example.com,Casado(a),7,Eventos/Cerimonial,2021-06-28,2024-02-28,Pós-graduação,Serventuário,69029-638,Aeroporto Sampaio,Serrano,Manaus,AM,800,Sim,66
390.518.246-70,Mathias Sousa,1966-01-09,Masculino,(92)954064827,yansiqueira@example.net,Casado(a),7,MJF - Jovens,2022-01-19,2024-06-09,Pós-graduação,Comandante,69054-895,Via Duarte,São Vicente,Manaus,AM,238,Sim,67
458.173.602-17,Isabella Monteiro,1951-10-08,Masculino,(92)933363552,rael48@example.net,Divorciado(a),5,MIDAF - Dança,2022-11-15,2024-04-23,Pós-graduação,Seringueiro,69045-110,Lago Ravi Lucca Abreu,Vila Rica,Manaus,AM,858,Sim,68
831.964.270-13,José Pedro da Conceição,1957-04-09,Masculino,(92)938516232,barbosafernanda@example.org,Casado(a),10,Intercessão,2023-07-05,2024-07-02,Médio,Pedreiro,69039-176,Setor Rodrigues,Estrela,Manaus,AM,162,Não,69
615.347.920-07,Antônio Nunes,2001-09-29,Masculino,(92)922407919,stella74@example.net,Solteiro(a),3,MILAF - Louvor,2022-11-16,2024-04-28,Médio,Pedreiro,69049-512,Ladeira Ísis da Mata,Santa Terezinha,Manaus,AM,954,Sim,70
197.264.530-70,Srta. Larissa da Luz,1948-11-06,Feminino,(92)989011092,helena71@example.org,Viúvo(a),10,Comunicação,2020-05-05,2024-02-18,Médio,Bombeiro,69038-263,Praia de Rezende,Vila Santo Antônio,Manaus,AM,644,Sim,71
598.741.230-79,Maysa Casa Grande,1955-07-13,Masculino,(92)954264066,barbosaaugusto@example.com,Divorciado(a),5,Eventos/Cerimonial,2021-10-05,2024-07-05,Superior,Plastimodelista,69088-358,Alameda Yuri da Paz,Flavio De Oliveira,Manaus,AM,608,Sim,72
256.381.709-95,Pietra Azevedo,1947-05-25,Masculino,(92)939721375,santoscatarina@example.com,Viúvo(a),6,MILAF - Louvor,2022-05-31,2024-05-29,Pós-graduação,Porteiro,69036-985,Jardim das Neves,Vila Jardim Montanhes,Manaus,AM,853,Sim,73
641.079.325-16,Vitor Gabriel Sales,1975-11-29,Feminino,(92)966612194,emanuelly41@example.org,Divorciado(a),1,Infantil,2024-02-17,2024-01-20,Fundamental,Toxicologista,69040-817,Vereda Silveira,Barreiro,Manaus,AM,873,Sim,74
076.821.953-12,Yuri da Costa,1951-03-05,Feminino,(92)911154462,asafemendes@example.com,Divorciado(a),7,MIDAF - Dança,2020-06-25,2024-05-13,Mestrado,Camelô,69033-817,Recanto Léo das Neves,Araguaia,Manaus,AM,674,Não,75
436.028.197-87,Antonella Rios,1958-10-20,Feminino,(92)919489993,knunes@example.net,Divorciado(a),10,Eventos/Cerimonial,2023-02-10,2024-04-16,Pós-graduação,Serralheiro,69089-200,Jardim de Aparecida,Canadá,Manaus,AM,533,Não,76
560.419.728-94,Maria Fernanda Guerra,1954-11-30,Masculino,(92)915659825,novaeslarissa@example.org,Casado(a),4,Técnica,2023-11-29,2024-02-05,Doutorado,Acompanhante,69062-789,Estrada Nogueira,Canaa,Manaus,AM,689,Não,77
967.548.023-83,Henry Gabriel Martins,1965-08-05,Masculino,(92)953782246,juliacastro@example.com,Viúvo(a),6,Técnica,2020-10-14,2024-04-17,Médio,Plastimodelista,69092-313,Passarela Fonseca,Vila Trinta E Um De Março,Manaus,AM,472,Sim,78
087.143.659-01,Sophia Almeida,1991-08-17,Feminino,(92)913681704,melissa99@example.org,Viúvo(a),10,MJF - Jovens,2020-04-30,2024-01-30,Doutorado,Degustador,69047-146,Vereda Henry Gabriel Pereira,Virgínia,Manaus,AM,271,Sim,79
576.923.014-25,Yago Garcia,1983-12-05,Feminino,(92)964096818,luara75@example.com,Viúvo(a),8,Introdutores,2020-01-18,2024-02-06,Pós-graduação,Major,69023-906,Lago Daniel Ribeiro,Vila Jardim São José,Manaus,AM,655,Não,80
673.925.018-95,Samuel Sá,1958-02-20,Masculino,(92)914534283,enzoborges@example.net,Divorciado(a),6,MJF - Jovens,2023-09-11,2024-06-18,Pós-graduação,Serralheiro,69023-308,Quadra de da Mota,Buraco Quente,Manaus,AM,597,Sim,81
410.237.586-44,João Vitor Nunes,1964-05-29,Feminino,(92)964317921,joao-guilherme47@example.com,Casado(a),2,Não,2023-05-24,2024-01-31,Superior,Engenheiro de manufatura,69053-239,Campo Cardoso,Serrano,Manaus,AM,844,Sim,82
067.925.184-76,Luiz Henrique Vargas,1951-03-11,Masculino,(92)968939302,calebeda-mota@example.org,Solteiro(a),5,Técnica,2024-02-09,2024-05-13,Superior,Tecnólogo em negócios imobiliários,69085-856,Vila de Cassiano,Vila Madre Gertrudes 4ª Seção,Manaus,AM,27,Não,83
763.589.140-57,Eloah Casa Grande,1963-12-22,Feminino,(92)987963925,naragao@example.org,Solteiro(a),9,Eventos/Cerimonial,2024-06-19,2024-04-26,Mestrado,Tintureiro,69045-308,Rodovia Pastor,Vila Santa Rosa,Manaus,AM,524,Sim,84
235.168.409-51,Davi Luiz Garcia,1967-11-20,Masculino,(92)943954042,da-cruzana-livia@example.org,Casado(a),4,Comunicação,2022-08-18,2024-05-30,Pós-graduação,Tecnólogo em irrigação e drenagem,69079-710,Parque de Nunes,Jardim Do Vale,Manaus,AM,887,Sim,85
650.371.829-21,Sara Alves,1985-09-20,Feminino,(92)968816591,dsa@example.com,Viúvo(a),2,Não,2023-08-29,2024-01-15,Fundamental,Tecnólogo em recursos pesqueiros,69056-189,Avenida Correia,Outro,Manaus,AM,304,Sim,86
061.359.472-06,Maria Moreira,1949-01-06,Feminino,(92)927755130,joao-pedrocavalcante@example.com,Casado(a),4,MJF - Jovens,2021-05-25,2024-06-18,Médio,Lutador de taekwondo,69036-630,Condomínio Caldeira,Serra Do Curral,Manaus,AM,684,Sim,87
924.650.317-16,Fernanda Pastor,1978-11-07,Feminino,(92)959165336,vasconcelosmaria-vitoria@example.org,Divorciado(a),10,Intercessão,2022-07-13,2024-02-12,Mestrado,Almirante,69038-683,Estação Joana da Rosa,Marieta 3ª Seção,Manaus,AM,784,Não,88
865.970.213-12,Maitê Lima,1970-01-21,Feminino,(92)942219174,hsousa@example.com,Divorciado(a),1,MJF - Jovens,2023-11-15,2024-05-02,Fundamental,Cambista,69065-961,Trecho Fernandes,São Francisco,Manaus,AM,482,Sim,89
372.014.865-35,Gustavo Farias,2006-04-28,Masculino,(92)957918408,leo22@example.org,Divorciado(a),3,Infantil,2022-12-28,2024-05-10,Médio,Tradutor,69015-928,Recanto Cavalcanti,Ipe,Manaus,AM,570,Sim,90
894.076.153-75,Srta. Alexia Carvalho,1996-03-07,Masculino,(92)969168245,thales18@example.org,Divorciado(a),9,Eventos/Cerimonial,2022-06-01,2024-05-04,Superior,Assistente social,69063-994,Área de Araújo,Camponesa 2ª Seção,Manaus,AM,161,Não,91
891.560.724-49,Isabela Pires,1954-02-02,Feminino,(92)930739442,azevedomaria-helena@example.com,Solteiro(a),9,MIDAF - Dança,2020-02-21,2024-04-13,Doutorado,Editor,69049-772,Trecho Melo,Bandeirantes,Manaus,AM,816,Sim,92
649.175.832-09,Lucas Gabriel Pimenta,1955-03-02,Masculino,(92)986147189,ucassiano@example.net,Divorciado(a),6,Intercessão,2020-01-04,2024-06-14,Doutorado,Coronel,69081-399,Estação de Fernandes,Vila São João Batista,Manaus,AM,685,Não,93
625.374.908-00,Marcela da Mata,1999-08-26,Masculino,(92)968322580,mathiasmelo@example.org,Casado(a),7,Intercessão,2023-09-10,2024-03-19,Superior,Brigadeiro,69018-645,Favela Bruno Moreira,Santa Sofia,Manaus,AM,605,Sim,94
851.237.469-19,Dr. Carlos Eduardo Alves,1991-04-17,Masculino,(92)968327156,cassianosamuel@example.com,Divorciado(a),1,Celebrações,2020-01-19,2024-06-09,Pós-graduação,Lapidário,69017-169,Conjunto Azevedo,São Damião,Manaus,AM,201,Sim,95
329.648.570-83,Bruna Moreira,1993-04-23,Masculino,(92)998075967,das-nevesoliver@example.net,Divorciado(a),6,Infantil,2020-10-02,2024-05-26,Superior,Obstetra,69037-713,Núcleo de Santos,Vila Bandeirantes,Manaus,AM,446,Sim,96
035.627.894-83,Sra. Ana Clara da Rocha,1962-09-10,Masculino,(92)977106244,fernandesisabel@example.net,Viúvo(a),8,Técnica,2021-08-13,2024-06-10,Doutorado,Biomédico,69048-819,Viaduto Natália Ferreira,Dom Bosco,Manaus,AM,679,Sim,97
796.243.058-38,Ana Júlia Mendes,1962-11-10,Masculino,(92)969786094,vitor-hugo15@example.net,Viúvo(a),4,Eventos/Cerimonial,2022-11-25,2024-07-03,Doutorado,Ambulante,69026-669,Vila Rios,Delta,Manaus,AM,207,Sim,98
015.798.234-32,Caio Moura,1995-07-21,Feminino,(92)996237440,brenda98@example.org,Viúvo(a),3,Eventos/Cerimonial,2022-12-08,2024-03-05,Fundamental,Arqueólogo,69044-138,Distrito de Casa Grande,Álvaro Camargos,Manaus,AM,197,Sim,99
379.410.258-41,Pietro Cirino,1948-04-05,Masculino,(92)971994981,franciscomachado@example.com,Viúvo(a),10,Comunicação,2021-02-22,2024-02-15,Superior,Projetista mecânico,69027-396,Ladeira de da Mata,Santa Helena,Manaus,AM,894,Sim,100
